protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-14069_925T8_lib221226_5627_NODE_83_length_141141_cov_11.3635_45	metaspades_NG-14069_925T8_lib221226_5627_NODE_83_length_141141_cov_11.3635	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-13376_922T9_lib202089_5478_NODE_90_length_5614_cov_4.12934_6	metaspades_NG-13376_922T9_lib202089_5478_NODE_90_length_5614_cov_4.12934	K13677	"dgs, bgsA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]"	PF00534.20	Glycosyl transferases group 1
metaspades_NG-13040_916T4L_lib194746_5429_NODE_5091_length_3135_cov_3.46851_2	metaspades_NG-13040_916T4L_lib194746_5429_NODE_5091_length_3135_cov_3.46851	K13038	"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	PF04127.15	DNA / pantothenate metabolism flavoprotein
metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551_1	metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	PF04055.21	Radical SAM superfamily
metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551_2	metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551	K01737	"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"	PF01242.19	6-pyruvoyl tetrahydropterin synthase
metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551_7	metaspades_NG-15813_920T5L_lib254043_5916_NODE_1283_length_6749_cov_8.81551	K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	PF13292.6	1-deoxy-D-xylulose-5-phosphate synthase
metaspades_NG-14069_925T8_lib221226_5627_NODE_11238_length_3996_cov_4.86171_5	metaspades_NG-14069_925T8_lib221226_5627_NODE_11238_length_3996_cov_4.86171	K00058	"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"		
metaspades_NG-14069_918T8_lib221219_5627_NODE_2961_length_4755_cov_9.27064_9	metaspades_NG-14069_918T8_lib221219_5627_NODE_2961_length_4755_cov_9.27064	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_2927_length_5845_cov_5.21416_5	metaspades_NG-14069_917T8_lib221218_5627_NODE_2927_length_5845_cov_5.21416	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	PF07728.14	AAA domain (dynein-related subfamily)
metaspades_NG-13376_924T3_lib202100_5478_NODE_672_length_5617_cov_7.8132_5	metaspades_NG-13376_924T3_lib202100_5478_NODE_672_length_5617_cov_7.8132	K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	PF06574.12	FAD synthetase
metaspades_NG-13040_925T3L_lib194729_5429_NODE_4119_length_3661_cov_2.82751_6	metaspades_NG-13040_925T3L_lib194729_5429_NODE_4119_length_3661_cov_2.82751	K02078	acpP; acyl carrier protein		
metaspades_NG-14069_922T8_lib221223_5627_NODE_8315_length_4065_cov_4.84464_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_8315_length_4065_cov_4.84464	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-15813_GD3A_lib254057_5916_NODE_302_length_10880_cov_6.56277_3	metaspades_NG-15813_GD3A_lib254057_5916_NODE_302_length_10880_cov_6.56277	K14520	hapE; 4-hydroxyacetophenone monooxygenase [EC:1.14.13.84]		
metaspades_NG-14069_GD_lib221227_5627_NODE_4947_length_5635_cov_7.1233_1	metaspades_NG-14069_GD_lib221227_5627_NODE_4947_length_5635_cov_7.1233	K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	PF00275.20	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
metaspades_NG-14069_GD_lib221227_5627_NODE_4947_length_5635_cov_7.1233_5	metaspades_NG-14069_GD_lib221227_5627_NODE_4947_length_5635_cov_7.1233	K01495	"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"	PF01227.22	GTP cyclohydrolase I
metaspades_NG-14069_925T8_lib221226_5627_NODE_3230_length_10004_cov_8.00895_9	metaspades_NG-14069_925T8_lib221226_5627_NODE_3230_length_10004_cov_8.00895	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-13376_916T12_lib202056_5478_NODE_52_length_10085_cov_4.31864_1	metaspades_NG-13376_916T12_lib202056_5478_NODE_52_length_10085_cov_4.31864	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF01380.22	SIS domain
metaspades_NG-13376_916T12_lib202056_5478_NODE_52_length_10085_cov_4.31864_4	metaspades_NG-13376_916T12_lib202056_5478_NODE_52_length_10085_cov_4.31864	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_918T8_lib221219_5627_NODE_1248_length_9292_cov_5.43228_3	metaspades_NG-14069_918T8_lib221219_5627_NODE_1248_length_9292_cov_5.43228	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_916T5L_lib194717_5429_NODE_193_length_9347_cov_461.952_18	metaspades_NG-13040_916T5L_lib194717_5429_NODE_193_length_9347_cov_461.952	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_15574_length_3547_cov_2.61283_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_15574_length_3547_cov_2.61283	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-13040_916T2L_lib194712_5429_NODE_1451_length_3254_cov_2.93936_5	metaspades_NG-13040_916T2L_lib194712_5429_NODE_1451_length_3254_cov_2.93936	K13017	"wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]"	PF01041.17	DegT/DnrJ/EryC1/StrS aminotransferase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_10130_length_5129_cov_4.15905_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_10130_length_5129_cov_4.15905	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-14069_925T8_lib221226_5627_NODE_2027_length_14420_cov_6.4875_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_2027_length_14420_cov_6.4875	K19286	nfrA2; FMN reductase [NAD(P)H] [EC:1.5.1.39]	PF00881.24	Nitroreductase family
metaspades_NG-13040_920T4L_lib194722_5429_NODE_6_length_61407_cov_56.9782_76	metaspades_NG-13040_920T4L_lib194722_5429_NODE_6_length_61407_cov_56.9782	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_920T4L_lib194722_5429_NODE_6_length_61407_cov_56.9782_77	metaspades_NG-13040_920T4L_lib194722_5429_NODE_6_length_61407_cov_56.9782	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_916T3L_lib194728_5429_NODE_13_length_62246_cov_20.7966_12	metaspades_NG-13040_916T3L_lib194728_5429_NODE_13_length_62246_cov_20.7966	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF18823.1	Inorganic Pyrophosphatase
metaspades_NG-13040_916T3L_lib194728_5429_NODE_13_length_62246_cov_20.7966_31	metaspades_NG-13040_916T3L_lib194728_5429_NODE_13_length_62246_cov_20.7966	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_756_length_34320_cov_23.6076_6	metaspades_NG-14069_925T8_lib221226_5627_NODE_756_length_34320_cov_23.6076	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_920T8_lib221221_5627_NODE_5928_length_3491_cov_4.14203_2	metaspades_NG-14069_920T8_lib221221_5627_NODE_5928_length_3491_cov_4.14203	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-14069_GD_lib221227_5627_NODE_1162_length_15789_cov_5.41039_2	metaspades_NG-14069_GD_lib221227_5627_NODE_1162_length_15789_cov_5.41039	K00656	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"	PF01228.21	Glycine radical
metaspades_NG-14069_925T8_lib221226_5627_NODE_5213_length_7011_cov_4.4747_2	metaspades_NG-14069_925T8_lib221226_5627_NODE_5213_length_7011_cov_4.4747	K18676	gspK; glucosamine kinase [EC:2.7.1.8]		
metaspades_NG-14069_919T8_lib221220_5627_NODE_670_length_55289_cov_19.6316_25	metaspades_NG-14069_919T8_lib221220_5627_NODE_670_length_55289_cov_19.6316	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-14069_918T8_lib221219_5627_NODE_1343_length_8679_cov_4.97936_6	metaspades_NG-14069_918T8_lib221219_5627_NODE_1343_length_8679_cov_4.97936	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF13522.6	Glutamine amidotransferase domain
metaspades_NG-13376_916T11_lib202092_5478_NODE_30_length_27317_cov_10.569_33	metaspades_NG-13376_916T11_lib202092_5478_NODE_30_length_27317_cov_10.569	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_916T11_lib202092_5478_NODE_30_length_27317_cov_10.569_56	metaspades_NG-13376_916T11_lib202092_5478_NODE_30_length_27317_cov_10.569	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	PF08645.11	Polynucleotide kinase 3 phosphatase
metaspades_NG-15813_GD3_lib254042_5916_NODE_9_length_58537_cov_34.1988_88	metaspades_NG-15813_GD3_lib254042_5916_NODE_9_length_58537_cov_34.1988	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_3418_length_7519_cov_4.68931_4	metaspades_NG-14069_GD_lib221227_5627_NODE_3418_length_7519_cov_4.68931	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_3418_length_7519_cov_4.68931_5	metaspades_NG-14069_GD_lib221227_5627_NODE_3418_length_7519_cov_4.68931	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_6402_length_4839_cov_4.28554_1	metaspades_NG-14069_922T8_lib221223_5627_NODE_6402_length_4839_cov_4.28554	K01784	"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"	PF01370.21	NAD dependent epimerase/dehydratase family
metaspades_NG-15813_920T5L_lib254043_5916_NODE_1653_length_5707_cov_7.49735_3	metaspades_NG-15813_920T5L_lib254043_5916_NODE_1653_length_5707_cov_7.49735	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_923T3L_lib194737_5429_NODE_229_length_3931_cov_11.3155_3	metaspades_NG-13040_923T3L_lib194737_5429_NODE_229_length_3931_cov_11.3155	K02169	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]	PF13649.6	Methyltransferase domain
metaspades_NG-14069_923T8_lib221224_5627_NODE_3974_length_7574_cov_4.76606_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_3974_length_7574_cov_4.76606	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	PF00768.20	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-15813_GD3A_lib254057_5916_NODE_1058_length_3245_cov_3.05643_5	metaspades_NG-15813_GD3A_lib254057_5916_NODE_1058_length_3245_cov_3.05643	K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"	PF03721.14	"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
metaspades_NG-14069_925T8_lib221226_5627_NODE_6180_length_6192_cov_17.0825_2	metaspades_NG-14069_925T8_lib221226_5627_NODE_6180_length_6192_cov_17.0825	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-14069_925T8_lib221226_5627_NODE_6180_length_6192_cov_17.0825_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_6180_length_6192_cov_17.0825	K05350	bglB; beta-glucosidase [EC:3.2.1.21]	PF00232.18	Glycosyl hydrolase family 1
metaspades_NG-13040_925T3L_lib194729_5429_NODE_1537_length_8478_cov_6.10317_2	metaspades_NG-13040_925T3L_lib194729_5429_NODE_1537_length_8478_cov_6.10317	K02495	"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"	PF04055.21	Radical SAM superfamily
metaspades_NG-13040_916T3L_lib194728_5429_NODE_58_length_27242_cov_12.379_20	metaspades_NG-13040_916T3L_lib194728_5429_NODE_58_length_27242_cov_12.379	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	PF11775.8	Cobalamin biosynthesis protein CobT VWA domain
metaspades_NG-13040_916T3L_lib194728_5429_NODE_58_length_27242_cov_12.379_21	metaspades_NG-13040_916T3L_lib194728_5429_NODE_58_length_27242_cov_12.379	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	PF07728.14	AAA domain (dynein-related subfamily)
metaspades_NG-13376_922T9_lib202089_5478_NODE_69_length_6549_cov_4.37666_2	metaspades_NG-13376_922T9_lib202089_5478_NODE_69_length_6549_cov_4.37666	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF01380.22	SIS domain
metaspades_NG-13376_923T8_lib202038_5478_NODE_5_length_121198_cov_59.8163_30	metaspades_NG-13376_923T8_lib202038_5478_NODE_5_length_121198_cov_59.8163	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	PF07728.14	AAA domain (dynein-related subfamily)
metaspades_NG-13376_923T8_lib202038_5478_NODE_5_length_121198_cov_59.8163_161	metaspades_NG-13376_923T8_lib202038_5478_NODE_5_length_121198_cov_59.8163	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_923T8_lib221224_5627_NODE_577_length_30428_cov_8.84285_13	metaspades_NG-14069_923T8_lib221224_5627_NODE_577_length_30428_cov_8.84285	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_923T8_lib221224_5627_NODE_577_length_30428_cov_8.84285_16	metaspades_NG-14069_923T8_lib221224_5627_NODE_577_length_30428_cov_8.84285	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_925T3L_lib194729_5429_NODE_256_length_29334_cov_10.4734_34	metaspades_NG-13040_925T3L_lib194729_5429_NODE_256_length_29334_cov_10.4734	K22227	ahbD; heme synthase	PF04055.21	Radical SAM superfamily
metaspades_NG-13040_916T3L_lib194728_5429_NODE_79_length_20421_cov_6.26721_16	metaspades_NG-13040_916T3L_lib194728_5429_NODE_79_length_20421_cov_6.26721	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-14069_922T8_lib221223_5627_NODE_4704_length_5950_cov_5.16031_2	metaspades_NG-14069_922T8_lib221223_5627_NODE_4704_length_5950_cov_5.16031	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	PF01116.20	Fructose-bisphosphate aldolase class-II
metaspades_NG-14069_918T8_lib221219_5627_NODE_5229_length_3212_cov_4.05638_4	metaspades_NG-14069_918T8_lib221219_5627_NODE_5229_length_3212_cov_4.05638	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	PF02873.16	"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain"
metaspades_NG-13040_916T1L_lib194711_5429_NODE_23_length_41352_cov_40.8125_10	metaspades_NG-13040_916T1L_lib194711_5429_NODE_23_length_41352_cov_40.8125	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
metaspades_NG-13040_916T1L_lib194711_5429_NODE_71_length_18317_cov_7.06774_25	metaspades_NG-13040_916T1L_lib194711_5429_NODE_71_length_18317_cov_7.06774	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_918T8_lib221219_5627_NODE_557_length_24617_cov_6.97472_27	metaspades_NG-14069_918T8_lib221219_5627_NODE_557_length_24617_cov_6.97472	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349_109	metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349	K02078	acpP; acyl carrier protein		
metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349_130	metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349_148	metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349_156	metaspades_NG-13376_919T6_lib202115_5478_NODE_1_length_144022_cov_45.5349	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	PF08645.11	Polynucleotide kinase 3 phosphatase
metaspades_NG-13040_923T3L_lib194737_5429_NODE_2_length_142312_cov_41.4736_162	metaspades_NG-13040_923T3L_lib194737_5429_NODE_2_length_142312_cov_41.4736	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	PF08645.11	Polynucleotide kinase 3 phosphatase
metaspades_NG-14069_925T8_lib221226_5627_NODE_1178_length_23011_cov_17.132_16	metaspades_NG-14069_925T8_lib221226_5627_NODE_1178_length_23011_cov_17.132	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_922T11_lib202046_5478_NODE_95_length_5362_cov_29.3452_4	metaspades_NG-13376_922T11_lib202046_5478_NODE_95_length_5362_cov_29.3452	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-13376_922T11_lib202046_5478_NODE_95_length_5362_cov_29.3452_5	metaspades_NG-13376_922T11_lib202046_5478_NODE_95_length_5362_cov_29.3452	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_2608_length_9245_cov_5.12992_2	metaspades_NG-14069_GD_lib221227_5627_NODE_2608_length_9245_cov_5.12992	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_916T3L_lib194728_5429_NODE_138_length_12862_cov_8.48919_9	metaspades_NG-13040_916T3L_lib194728_5429_NODE_138_length_12862_cov_8.48919	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	PF02882.19	"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361_23	metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361_24	metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361_26	metaspades_NG-14069_918T8_lib221219_5627_NODE_336_length_42648_cov_6.39361	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-13376_922T9_lib202089_5478_NODE_164_length_3094_cov_9.27641_1	metaspades_NG-13376_922T9_lib202089_5478_NODE_164_length_3094_cov_9.27641	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_916T3L_lib194728_5429_NODE_656_length_3133_cov_4.17641_2	metaspades_NG-13040_916T3L_lib194728_5429_NODE_656_length_3133_cov_4.17641	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_6406_length_4836_cov_4.13282_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_6406_length_4836_cov_4.13282	K01208	"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]"	PF00128.24	"Alpha amylase, catalytic domain"
metaspades_NG-15813_GD3A_lib254057_5916_NODE_558_length_6145_cov_5.08391_6	metaspades_NG-15813_GD3A_lib254057_5916_NODE_558_length_6145_cov_5.08391	K01777	prdF; proline racemase [EC:5.1.1.4]	PF05544.11	Proline racemase
metaspades_NG-15813_VGD_lib254046_5916_NODE_228_length_9851_cov_20.0023_2	metaspades_NG-15813_VGD_lib254046_5916_NODE_228_length_9851_cov_20.0023	K21140	mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	PF14464.6	Prokaryotic homologs of the JAB domain
metaspades_NG-13040_918T3L_lib194736_5429_NODE_31_length_38726_cov_17.2794_25	metaspades_NG-13040_918T3L_lib194736_5429_NODE_31_length_38726_cov_17.2794	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13376_916T11_lib202092_5478_NODE_40_length_22733_cov_65.5945_23	metaspades_NG-13376_916T11_lib202092_5478_NODE_40_length_22733_cov_65.5945	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
