Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-FEC-AUG2-F5-k141_37921,68.92,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.70,blast;96.20 iPHoP-RF;78.30 RaFAH;60.80
VIVO4-FEC-AUG2-F5-k141_38804,8.94,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81,90.90,blast;93.30
VIVO4-FEC-AUG2-F5-k141_39372,59.79,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.50,blast;93.80 iPHoP-RF;58.20
VIVO4-FEC-AUG2-F5-k141_39846,41.17,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,98.70,blast;95.60 iPHoP-RF;92.80 RaFAH;88.50
VIVO4-FEC-AUG2-F5-k141_40450,11.40,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,90.70,blast;93.10 iPHoP-RF;77.10 CRISPR;60.40
VIVO4-FEC-AUG2-F5-k141_4152,93.92,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,96.60,iPHoP-RF;94.40 RaFAH;78.80
VIVO4-FEC-AUG2-F5-k141_4161,46.54,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.90,iPHoP-RF;95.70 blast;94.90
VIVO4-FEC-AUG2-F5-k141_4163,38.64,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,91.60,blast;93.90 iPHoP-RF;79.50
VIVO4-FEC-AUG2-F5-k141_42569,12.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,91.60,blast;93.90 iPHoP-RF;76.80
VIVO4-FEC-AUG2-F5-k141_43699,99.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.30,RaFAH;92.80
VIVO4-FEC-AUG2-F5-k141_43699,99.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,90.30,RaFAH;92.80
VIVO4-FEC-AUG2-F5-k141_437,86.13,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.10,blast;96.70 iPHoP-RF;94.70 RaFAH;89.70
VIVO4-FEC-AUG2-F5-k141_437,86.13,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,97.20,iPHoP-RF;90.10 RaFAH;89.70
VIVO4-FEC-AUG2-F5-k141_437,86.13,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,92.60,iPHoP-RF;94.70 blast;85.60
VIVO4-FEC-AUG2-F5-k141_43867,9.95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.20,blast;93.60 iPHoP-RF;70.00
VIVO4-FEC-AUG2-F5-k141_44254,97.18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;99.80 blast;96.90 iPHoP-RF;95.70
VIVO4-FEC-AUG2-F5-k141_44998,51.53,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,91.80,blast;94.10 iPHoP-RF;83.30
VIVO4-FEC-AUG2-F5-k141_46037,48.97,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.10,blast;94.30 iPHoP-RF;89.20 CRISPR;62.30
VIVO4-FEC-AUG2-F5-k141_47428,77.51,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,95.90,blast;97.10 iPHoP-RF;96.40
VIVO4-FEC-AUG2-F5-k141_48233,32.71,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,95.00,blast;96.50 iPHoP-RF;87.90 CRISPR;54.30
VIVO4-FEC-AUG2-F5-k141_48505,61.94,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium,91.60,blast;93.90 iPHoP-RF;57.30
VIVO4-FEC-AUG2-F5-k141_49472,75.76,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,97.00,iPHoP-RF;96.70 RaFAH;68.00
VIVO4-FEC-AUG2-F5-k141_49472,75.76,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,96.30,blast;95.90 iPHoP-RF;95.70 RaFAH;68.00
VIVO4-FEC-AUG2-F5-k141_49932,89.98,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,blast;98.60 RaFAH;97.70 iPHoP-RF;93.70
VIVO4-FEC-AUG2-F5-k141_50012,91.49,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.20,blast;93.60 iPHoP-RF;73.70
VIVO4-FEC-AUG2-F5-k141_50012,91.49,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.90,blast;90.10 RaFAH;66.20 iPHoP-RF;58.20
VIVO4-FEC-AUG2-F5-k141_50655,89.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.10,iPHoP-RF;95.10
VIVO4-FEC-AUG2-F5-k141_50655,89.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,93.10,iPHoP-RF;95.10
VIVO4-FEC-AUG2-F5-k141_50655,89.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,92.50,blast;94.60 iPHoP-RF;93.40 CRISPR;76.10
VIVO4-FEC-AUG2-F5-k141_50655,89.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHH4-2,92.20,iPHoP-RF;94.40
VIVO4-FEC-AUG2-F5-k141_50668,92.85,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,95.90,CRISPR;97.10 iPHoP-RF;93.10 blast;92.00
VIVO4-FEC-AUG2-F5-k141_51250,6.42,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,94.60,blast;96.20 CRISPR;74.10
VIVO4-FEC-AUG2-F5-k141_53116,11.34,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,90.80,blast;93.20
VIVO4-FEC-AUG2-F5-k141_54321,13.96,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,95.90,blast;97.10 iPHoP-RF;68.00
VIVO4-FEC-AUG2-F5-k141_55240,17.36,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,91.00,blast;93.40 iPHoP-RF;67.00
VIVO4-FEC-AUG2-F5-k141_5549,7.40,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae,90.10,blast;92.60 iPHoP-RF;71.10
VIVO4-FEC-AUG2-F5-k141_55792,35.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae,92.30,blast;94.50 iPHoP-RF;75.00
VIVO4-FEC-AUG2-F5-k141_56053,37.33,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,94.90,blast;96.40 iPHoP-RF;83.30
VIVO4-FEC-AUG2-F5-k141_5622,55.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,96.00,CRISPR;97.20 iPHoP-RF;67.50
VIVO4-FEC-AUG2-F5-k141_5622,55.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,93.40,RaFAH;89.50 CRISPR;75.50 iPHoP-RF;54.10
VIVO4-FEC-AUG2-F5-k141_5644,12.57,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,98.10,blast;98.60 iPHoP-RF;59.20
VIVO4-FEC-AUG2-F5-k141_56622,5.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,90.20,blast;92.70 iPHoP-RF;71.10
VIVO4-FEC-AUG2-F5-k141_5791,16.37,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,90.80,blast;93.20 iPHoP-RF;57.90
VIVO4-FEC-AUG2-F5-k141_59191,99.34,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,94.00,CRISPR;95.80 blast;52.10
VIVO4-FEC-AUG2-F5-k141_60149,98.36,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83,96.40,RaFAH;96.70 blast;62.00
VIVO4-FEC-AUG2-F5-k141_60149,98.36,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,95.30,RaFAH;96.70
VIVO4-FEC-AUG2-F5-k141_60149,98.36,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4,90.40,blast;92.90
VIVO4-FEC-AUG2-F5-k141_60628,61.95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.00,blast;96.60 iPHoP-RF;96.40 RaFAH;88.80
VIVO4-FEC-AUG2-F5-k141_60628,61.95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,98.80,iPHoP-RF;96.10 RaFAH;88.80
VIVO4-FEC-AUG2-F5-k141_60628,61.95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,94.90,iPHoP-RF;96.40
VIVO4-FEC-AUG2-F5-k141_61401,64.01,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,94.60,blast;96.20 iPHoP-RF;96.10 CRISPR;67.00
VIVO4-FEC-AUG2-F5-k141_61916,83.88,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,96.90,blast;97.80 iPHoP-RF;67.70
VIVO4-FEC-AUG2-F5-k141_62629,48.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.50,blast;93.80 iPHoP-RF;86.00
VIVO4-FEC-AUG2-F5-k141_6289,9.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,90.30,blast;92.80 iPHoP-RF;73.20
VIVO4-FEC-AUG2-F5-k141_63170,3.74,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.70,blast;94.80 iPHoP-RF;81.10
VIVO4-FEC-AUG2-F5-k141_63170,3.74,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.20,blast;93.60 iPHoP-RF;85.10
VIVO4-FEC-AUG2-F5-k141_64162,7.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,96.90,blast;97.80 iPHoP-RF;86.30 CRISPR;66.80
VIVO4-FEC-AUG2-F5-k141_6540,65.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,95.40,CRISPR;96.80 blast;91.20 iPHoP-RF;83.30
VIVO4-FEC-AUG2-F5-k141_6540,65.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,91.40,blast;93.70 CRISPR;89.40 iPHoP-RF;85.40
VIVO4-FEC-AUG2-F5-k141_6540,65.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.00,blast;92.50 iPHoP-RF;85.40
VIVO4-FEC-AUG2-F5-k141_65450,22.66,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,93.00,blast;95.00 iPHoP-RF;72.80
VIVO4-FEC-AUG2-F5-k141_65545,96.17,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,94.20,blast;95.90 iPHoP-RF;82.50
VIVO4-FEC-AUG2-F5-k141_65545,96.17,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,91.70,blast;94.00
VIVO4-FEC-AUG2-F5-k141_6575,6.21,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,91.00,blast;93.40 iPHoP-RF;65.10
VIVO4-FEC-AUG2-F5-k141_65861,37.98,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,91.50,blast;93.80
VIVO4-FEC-AUG2-F5-k141_66820,61.05,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.00,iPHoP-RF;93.40 blast;93.20 CRISPR;92.30
VIVO4-FEC-AUG2-F5-k141_66854,7.27,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.20,iPHoP-RF;94.40 blast;93.60 CRISPR;67.90
VIVO4-FEC-AUG2-F5-k141_674,9.70,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS403,90.40,blast;92.90 iPHoP-RF;58.20
VIVO4-FEC-AUG2-F5-k141_67478,67.08,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,95.60,blast;96.90
VIVO4-FEC-AUG2-F5-k141_67611,87.67,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.50,blast;96.10 iPHoP-RF;81.10
VIVO4-FEC-AUG2-F5-k141_67819,9.58,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,91.20,blast;93.60 iPHoP-RF;65.10
VIVO4-FEC-AUG2-F5-k141_6783,20.74,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,91.50,blast;93.80
VIVO4-FEC-AUG2-F5-k141_6783,20.74,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,90.20,blast;92.70 iPHoP-RF;86.30
VIVO4-FEC-AUG2-F5-k141_68349,10.60,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,98.40,blast;98.80 iPHoP-RF;60.30
VIVO4-FEC-AUG2-F5-k141_68476,10.30,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.40,blast;93.70 iPHoP-RF;85.40
VIVO4-FEC-AUG2-F5-k141_69113,100.00,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,98.70,blast;96.20 iPHoP-RF;88.90 RaFAH;86.90
VIVO4-FEC-AUG2-F5-k141_69158,38.08,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Marseille-P4683,90.80,blast;93.20
VIVO4-FEC-AUG2-F5-k141_70705,85.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,90.80,blast;93.20 iPHoP-RF;69.30
VIVO4-FEC-AUG2-F5-k141_71228,12.89,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__F0422,92.60,RaFAH;94.70
VIVO4-FEC-AUG2-F5-k141_71228,12.89,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella,92.60,RaFAH;94.70
VIVO4-FEC-AUG2-F5-k141_71228,12.89,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A,92.60,RaFAH;94.70
VIVO4-FEC-AUG2-F5-k141_71228,12.89,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,90.80,blast;93.20 iPHoP-RF;53.60
VIVO4-FEC-AUG2-F5-k141_71617,27.15,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,91.50,blast;93.80 iPHoP-RF;81.40
VIVO4-FEC-AUG2-F5-k141_71945,56.02,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,93.40,blast;95.30 iPHoP-RF;53.60
VIVO4-FEC-AUG2-F5-k141_72005,4.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__An92,90.70,blast;93.10 iPHoP-RF;64.80
VIVO4-FEC-AUG2-F5-k141_72039,99.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.40 iPHoP-RF;97.10
VIVO4-FEC-AUG2-F5-k141_72039,99.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,94.50,iPHoP-RF;96.10 blast;92.90 CRISPR;60.70
VIVO4-FEC-AUG2-F5-k141_72107,26.98,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.60,blast;95.50 iPHoP-RF;90.80
VIVO4-FEC-AUG2-F5-k141_72107,26.98,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHH4-2,90.20,blast;92.70 iPHoP-RF;88.90
VIVO4-FEC-AUG2-F5-k141_72347,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,91.20,blast;93.60 iPHoP-RF;77.30
VIVO4-FEC-AUG2-F5-k141_72642,64.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.40,blast;93.70 iPHoP-RF;81.40
VIVO4-FEC-AUG2-F5-k141_73404,99.63,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,97.90,blast;97.40 RaFAH;72.10 iPHoP-RF;63.50
VIVO4-FEC-AUG2-F5-k141_74684,18.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,90.00,blast;92.50 iPHoP-RF;76.80
VIVO4-FEC-AUG2-F5-k141_75669,31.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,90.70,blast;93.10 iPHoP-RF;79.80
VIVO4-FEC-AUG2-F5-k141_78846,38.14,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.30,blast;94.50 iPHoP-RF;66.30
VIVO4-FEC-AUG2-F5-k141_79096,10.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.40,blast;92.90 iPHoP-RF;77.50
VIVO4-FEC-AUG2-F5-k141_7919,99.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.70 blast;89.60 CRISPR;80.40 iPHoP-RF;79.50
VIVO4-FEC-AUG2-F5-k141_7919,99.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,94.90,blast;96.40 CRISPR;94.90 iPHoP-RF;71.30
VIVO4-FEC-AUG2-F5-k141_79226,79.96,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.10,blast;94.30 iPHoP-RF;84.20
VIVO4-FEC-AUG2-F5-k141_79299,6.21,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,91.00,blast;93.40 iPHoP-RF;73.20
VIVO4-FEC-AUG2-F5-k141_80210,99.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,100.00,RaFAH;99.60 blast;97.90 iPHoP-RF;97.10 CRISPR;52.60
VIVO4-FEC-AUG2-F5-k141_80210,99.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,99.60,RaFAH;99.60
VIVO4-FEC-AUG2-F5-k141_80395,98.05,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.90,blast;90.50 RaFAH;73.00
VIVO4-FEC-AUG2-F5-k141_80450,97.29,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.30 iPHoP-RF;97.10 blast;96.90
VIVO4-FEC-AUG2-F5-k141_80936,95.93,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;98.30 iPHoP-RF;97.10 blast;96.90 CRISPR;73.90
VIVO4-FEC-AUG2-F5-k141_80950,60.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.40,blast;95.40 RaFAH;95.10 iPHoP-RF;91.40
VIVO4-FEC-AUG2-F5-k141_82552,14.94,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.40,blast;93.70 iPHoP-RF;72.80
VIVO4-FEC-AUG2-F5-k141_84121,87.11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;98.40 iPHoP-RF;97.10 blast;90.80
VIVO4-FEC-AUG2-F5-k141_84121,87.11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,92.00,blast;94.20 iPHoP-RF;51.70
VIVO4-FEC-AUG2-F5-k141_84452,34.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,91.60,blast;93.90 iPHoP-RF;89.80
VIVO4-FEC-AUG2-F5-k141_84618,14.44,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,95.60,blast;96.90 iPHoP-RF;79.30
VIVO4-FEC-AUG2-F5-k141_8483,6.35,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.90,RaFAH;94.70 blast;93.00 iPHoP-RF;84.20
VIVO4-FEC-AUG2-F5-k141_84940,8.25,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,93.90,iPHoP-RF;95.70 blast;86.90
VIVO4-FEC-AUG2-F5-k141_85577,6.63,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,94.60,blast;96.20 iPHoP-RF;77.50
VIVO4-FEC-AUG2-F5-k141_85938,20.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,94.90,iPHoP-RF;96.40 blast;93.40 CRISPR;54.30
VIVO4-FEC-AUG2-F5-k141_86071,98.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,93.50,blast;88.10 RaFAH;80.80 iPHoP-RF;69.50
VIVO4-FEC-AUG2-F5-k141_86093,9.56,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.60,blast;93.90 iPHoP-RF;85.10
VIVO4-FEC-AUG2-F5-k141_86141,3.77,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,96.40,blast;97.50 iPHoP-RF;76.60
VIVO4-FEC-AUG2-F5-k141_86517,12.98,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,90.60,blast;93.00 iPHoP-RF;84.20
VIVO4-FEC-AUG2-F5-k141_87126,23.09,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777,98.80,CRISPR;99.10
VIVO4-FEC-AUG2-F5-k141_87176,100.00,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,97.90,blast;98.50 iPHoP-RF;87.30 CRISPR;68.40
VIVO4-FEC-AUG2-F5-k141_87301,99.55,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,93.40,blast;95.30 iPHoP-RF;87.90
VIVO4-FEC-AUG2-F5-k141_88004,9.13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,92.90,blast;94.90 iPHoP-RF;80.60
VIVO4-FEC-AUG2-F5-k141_88196,54.55,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.00,CRISPR;97.90 blast;95.40 iPHoP-RF;95.10
